func_100011_g,getIsPotionDurationMax,0,
func_100012_b,setPotionDurationMax,0,
func_100015_a,isKeyDown,0,
func_102007_a,canInsertItem,2,
func_102008_b,canExtractItem,2,
func_104002_bU,isNoDespawnRequired,2,
func_104055_i,setForceGamemode,1,
func_104056_am,getForceGamemode,2,
func_104112_b,saveExtraData,2,
func_104140_m,saveChunkData,2,
func_110123_P,onChunkLoad,2,
func_110124_au,getUniqueID,2,
func_110125_a,setParticleIcon,0,
func_110128_b,onBroken,2,
func_110130_b,getKnotForBlock,2,
func_110131_b,removeFrameFromMap,2,
func_110138_aP,getMaxHealth,2,
func_110139_bj,getAbsorptionAmount,2,
func_110140_aT,getAttributeMap,2,
func_110142_aN,getCombatTracker,2,
func_110143_aJ,getHealth,2,
func_110144_aD,getLastAttacker,2,
func_110145_l,dismountEntity,2,
func_110147_ax,applyEntityAttributes,2,
func_110148_a,getEntityAttribute,2,
func_110149_m,setAbsorptionAmount,2,
func_110159_bB,updateLeashedState,2,
func_110160_i,clearLeashed,2,
func_110161_a,onSpawnWithEgg,2,
func_110162_b,setLeashedToEntity,2,
func_110163_bv,enablePersistence,2,
func_110164_bC,allowLeashing,2,
func_110165_bF,recreateLeash,2,
func_110166_bE,getLeashedToEntity,2,
func_110167_bD,getLeashed,2,
func_110171_b,setHomeArea,2,
func_110172_bL,getHomePosition,2,
func_110173_bK,isWithinHomeDistanceCurrentPosition,2,
func_110174_bM,getMaximumHomeDistance,2,
func_110175_bO,hasHome,2,
func_110176_b,isWithinHomeDistance,2,
func_110177_bN,detachHome,2,
func_110195_a,addGrowth,2,
func_110198_t,increaseTemper,2,
func_110199_f,openGUI,2,
func_110200_cJ,canMate,2,
func_110202_bQ,getHorseVariant,2,
func_110204_cc,isEatingHaystack,2,
func_110206_u,setJumpPower,2,
func_110207_m,setChested,2,
func_110208_b,setHorseWatchableBoolean,2,
func_110209_cd,isRearing,2,
func_110212_cp,getVariantTexturePaths,0,
func_110214_p,setHorseType,2,
func_110215_cj,getHorseJumpStrength,2,
func_110216_r,spawnHorseParticles,0,
func_110217_cl,getAngrySoundName,2,
func_110218_cm,getMaxTemper,2,
func_110219_q,setRearing,2,
func_110220_cK,makeHorseRear,2,
func_110221_n,setHasReproduced,2,
func_110222_cv,isSterile,2,
func_110223_p,getRearingAmount,0,
func_110224_ci,dropChests,2,
func_110227_p,setEatingHaystack,2,
func_110228_bR,isAdultHorse,2,
func_110229_cs,canCarryChest,2,
func_110231_cz,makeHorseRearWithSound,2,
func_110233_w,getHorseWatchableBoolean,2,
func_110234_j,setHorseTamed,2,
func_110235_q,setHorseVariant,2,
func_110238_s,setTemper,2,
func_110240_a,dropItemsInChest,2,
func_110243_cf,getHasReproduced,2,
func_110244_cA,dropChestItems,2,
func_110246_bZ,isHorseJumping,2,
func_110247_cG,setHorseTexturePaths,0,
func_110248_bS,isTame,2,
func_110249_cI,openHorseMouth,2,
func_110250_a,getClosestHorse,2,
func_110251_o,setHorseSaddled,2,
func_110252_cg,getTemper,2,
func_110254_bY,getHorseSize,2,
func_110255_k,setHorseJumping,2,
func_110256_cu,isUndead,2,
func_110257_ck,isHorseSaddled,2,
func_110258_o,getGrassEatingAmount,0,
func_110259_cr,canWearArmor,2,
func_110260_d,getHorseArmorIndex,2,
func_110261_ca,isChested,2,
func_110262_ch,prepareChunkForSpawn,2,
func_110263_g,setTamedBy,2,
func_110264_co,getHorseTexture,0,
func_110265_bP,getHorseType,2,
func_110297_a_,verifySellingItem,2,
func_110298_a,displayGUIHorse,2,
func_110303_q,getLocationCape,0,
func_110304_a,getDownloadImageSkin,0,
func_110306_p,getLocationSkin,0,
func_110311_f,getLocationSkin,0,
func_110317_t,isRidingHorse,0,
func_110318_g,sendHorseJump,0,
func_110319_bJ,getHorseJumpPower,0,
func_110322_i,sendHorseInteraction,0,
func_110326_a,setRecordPlaying,0,
func_110327_a,renderIcons,0,
func_110430_a,setEntityActionState,2,
func_110432_I,getSession,0,
func_110434_K,getTextureManager,0,
func_110435_P,addDefaultResourcePack,0,
func_110436_a,refreshResources,0,
func_110437_J,getProxy,0,
func_110438_M,getResourcePackRepository,0,
func_110441_Q,updateDisplayMode,0,
func_110442_L,getResourceManager,0,
func_110454_ao,getServerProxy,2,
func_110455_j,getOpPermissionLevel,2,
func_110462_b,getPackFormat,0,
func_110468_c,getFrameIndex,0,
func_110469_d,getFrameTime,0,
func_110470_b,frameHasTime,0,
func_110471_a,getFrameHeight,0,
func_110472_a,getFrameTimeSingle,0,
func_110473_c,getFrameCount,0,
func_110474_b,getFrameWidth,0,
func_110479_a,getTextureBlur,0,
func_110480_b,getTextureClamp,0,
func_110483_a,getSectionName,0,
func_110492_a,parseAnimationFrame,0,
func_110495_a,hasNoTime,0,
func_110496_c,getFrameIndex,0,
func_110497_b,getFrameTime,0,
func_110503_a,parseMetadataSection,0,
func_110504_a,registerMetadataSectionType,0,
func_110505_a,getGson,0,
func_110514_c,getResourcePack,0,
func_110515_d,getResourcePackName,0,
func_110516_a,updateResourcePack,0,
func_110517_b,closeResourcePack,0,
func_110518_a,bindTexturePackIcon,0,
func_110519_e,getTexturePackDescription,0,
func_110526_a,getMetadata,0,
func_110527_b,getInputStream,0,
func_110528_c,hasMetadata,0,
func_110536_a,getResource,0,
func_110537_b,getLocationMcmeta,0,
func_110538_a,addResourcePack,0,
func_110541_a,reloadResources,0,
func_110542_a,registerReloadListener,0,
func_110543_a,clearResources,0,
func_110544_b,notifyReloadListeners,0,
func_110545_a,reloadResourcePack,0,
func_110549_a,onResourceManagerReload,0,
func_110550_d,tick,0,
func_110551_a,loadTexture,0,
func_110552_b,getGlTextureId,0,
func_110564_a,updateDynamicTexture,0,
func_110565_c,getTextureData,0,
func_110569_e,initMissingImage,0,
func_110571_b,loadTextureAtlas,0,
func_110572_b,getAtlasSprite,0,
func_110573_f,registerIcons,0,
func_110577_a,bindTexture,0,
func_110578_a,getDynamicTextureLocation,0,
func_110579_a,loadTexture,0,
func_110580_a,loadTickableTexture,0,
func_110581_b,getTexture,0,
func_110586_a,getPackImage,0,
func_110587_b,getResourceDomains,0,
func_110589_b,resourceExists,0,
func_110590_a,getInputStream,0,
func_110591_a,getInputStreamByName,0,
func_110592_c,locationToName,0,
func_110593_b,hasResourceName,0,
func_110594_c,logNameNotLowercase,0,
func_110595_a,getRelativeName,0,
func_110596_a,readMetadata,0,
func_110599_c,getResourcePackZipFile,0,
func_110605_c,getResourceStream,0,
func_110609_b,getRepositoryEntriesAll,0,
func_110611_a,updateRepositoryEntriesAll,0,
func_110612_e,getDirResourcepacks,0,
func_110613_c,getRepositoryEntries,0,
func_110614_g,getResourcePackFiles,0,
func_110616_f,fixDirResourcepacks,0,
func_110623_a,getResourcePath,0,
func_110624_b,getResourceDomain,0,
func_110646_a,getTextWithoutFormattingCodes,0,
func_110647_a,getOSType,0,
func_110661_a,parseDouble,2,
func_110662_c,parseBoolean,2,
func_110664_a,parseDouble,2,
func_110665_a,clamp_double,2,
func_110666_a,clamp_coord,2,
func_110682_a,setBoxRotation,0,
func_110683_a,updateHorseRotation,0,
func_110738_j,isRidingHorse,0,
func_110775_a,getEntityTexture,0,
func_110776_a,bindTexture,0,
func_110777_b,bindEntityTexture,0,
func_110813_b,canRenderName,0,
func_110934_a,addSprite,0,
func_110935_a,getCurrentWidth,0,
func_110936_b,getCurrentHeight,0,
func_110966_b,setIconWidth,0,
func_110967_i,getOriginY,0,
func_110968_a,setFramesTextureData,0,
func_110969_c,setIconHeight,0,
func_110970_k,getFrameCount,0,
func_110971_a,initSprite,0,
func_110985_a,updateAnaglyph,0,
func_110986_a,readImageData,0,
func_110987_a,uploadTextureImage,0,
func_110988_a,uploadTexture,0,
func_110989_a,uploadTextureImageAllocate,0,
func_110990_a,copyToBuffer,0,
func_110991_a,allocateTexture,0,
func_110993_a,uploadTextureImageSubImpl,0,
func_110994_a,copyToBufferPos,0,
func_110995_a,uploadTextureImageSub,0,
func_110996_a,glGenTextures,0,
func_110997_a,setTextureClamped,0,
func_111108_a,getAttributeUnlocalizedName,2,
func_111109_a,clampValue,2,
func_111110_b,getDefaultValue,2,
func_111111_c,getShouldWatch,2,
func_111112_a,setShouldWatch,2,
func_111116_f,getDescription,2,
func_111117_a,setDescription,2,
func_111121_a,applyModifier,2,
func_111123_a,getAttribute,2,
func_111124_b,removeModifier,2,
func_111125_b,getBaseValue,2,
func_111126_e,getAttributeValue,2,
func_111127_a,getModifier,2,
func_111128_a,setBaseValue,2,
func_111129_g,computeValue,2,
func_111130_a,getModifiersByOperation,2,
func_111131_f,flagForUpdate,2,
func_111145_d,getWatchableObjectFloat,2,
func_111146_a,getAllAttributes,2,
func_111147_b,applyAttributeModifiers,2,
func_111148_a,removeAttributeModifiers,2,
func_111149_a,addAttributeInstance,2,
func_111150_b,registerAttribute,2,
func_111151_a,getAttributeInstance,2,
func_111152_a,getAttributeInstanceByName,2,
func_111160_c,getWatchedAttributes,2,
func_111161_b,getAttributeInstanceSet,2,
func_111164_d,getAmount,2,
func_111165_e,isSaved,2,
func_111166_b,getName,2,
func_111167_a,getID,2,
func_111168_a,setSaved,2,
func_111169_c,getOperation,2,
func_111175_f,getTargetDistance,2,
func_111184_a,registerPotionAttributeModifier,2,
func_111185_a,applyAttributesModifiersToEntity,2,
func_111187_a,removeAttributesModifiersFromEntity,2,
func_111190_b,sendMetadataToAllAssociatedPlayers,2,
func_111194_a,processChunk,2,
func_111196_a,increaseInhabitedTime,2,
func_111205_h,getItemAttributeModifiers,2,
func_111206_d,setTextureName,2,
func_111207_a,itemInteractionForEntity,2,
func_111208_A,getIconString,0,
func_111225_m,getRelevantEnchantmentTypes,0,
func_111229_a,setRelevantEnchantmentTypes,2,
func_111238_b,canBeHovered,0,
func_111257_a,writeBaseAttributeMapToNBT,2,
func_111258_a,applyModifiersToAttributeInstance,2,
func_111259_a,readAttributeModifierFromNBT,2,
func_111261_a,writeAttributeInstanceToNBT,2,
func_111262_a,writeAttributeModifierToNBT,2,
func_111269_d,getPathSearchRange,2,
func_111270_a,union,2,
func_111271_a,getUnicodePageLocation,0,
func_111272_d,readFontTexture,0,
func_111282_a,interactWithEntity,2,
func_111283_C,getAttributeModifiers,2,
func_111285_a,getUsername,0,
func_111286_b,getSessionID,0,
func_120011_ar,setGuiEnabled,1,
func_120016_a,createServerGui,1,
func_120018_d,getLogComponent,1,
func_120019_b,getStatsComponent,1,
func_120020_c,getPlayerListComponent,1,
func_130001_d,getCurrentMoonPhaseFactor,2,
func_130002_c,interactFirst,2,
func_130010_a,getOriginX,0,
func_130011_c,setLastAttacker,2,
func_130014_f_,getEntityWorld,2,
func_130071_aq,getCurrentTimeMillis,2,
func_130072_d,getAnimationFrame,0,
func_130073_e,getFrameIndexSet,0,
func_130077_b,getPackName,0,
func_130086_a,getTextureType,0,
func_130087_a,getResourceLocation,0,
func_130088_a,loadTextureMap,0,
func_130098_m,hasAnimationMetadata,0,
func_130099_d,allocateFrameTextureData,0,
func_130102_n,resetSprite,0,
func_130103_l,clearFramesTextureData,0,
func_130105_g,getMinecraftStartTimeMillis,2,
func_135016_M,getLanguageManager,0,
func_135018_a,getLanguages,0,
func_135021_a,loadLocaleData,0,
func_135022_a,loadLocaleDataFiles,0,
func_135023_a,formatMessage,0,
func_135024_b,checkUnicode,0,
func_135025_a,isUnicode,0,
func_135026_c,translateKeyPrivate,0,
func_135028_a,loadLocaleData,0,
func_135034_a,getLanguageCode,0,
func_135035_b,isBidirectional,0,
func_135040_d,getLanguages,0,
func_135041_c,getCurrentLanguage,0,
func_135042_a,isCurrentLocaleUnicode,0,
func_135043_a,parseLanguageMetadata,0,
func_135044_b,isCurrentLanguageBidirectional,0,
func_135045_a,setCurrentLanguage,0,
func_135051_a,setLocale,0,
func_135052_a,format,0,
func_135055_a,getResourceDomains,0,
func_135056_b,getAllResources,0,
func_135058_a,getPackMetadata,0,
func_135063_a,replaceWith,0,
func_135064_c,tryTranslateKey,2,
func_140005_i,switchToRealms,0,
func_142008_O,shouldSetPosAfterLoading,2,
func_142012_a,isOnTeam,2,
func_142013_aG,getLastAttackerTime,2,
func_142014_c,isOnSameTeam,2,
func_142015_aE,getRevengeTimer,2,
func_142020_c,setClientBrand,0,
func_142021_k,getClientBrand,0,
func_142049_d,removeAllModifiers,0,
func_142053_d,formatString,2,
func_142054_a,isSameTeam,2,
func_143004_u,markPlayerActive,2,
func_143006_e,setPlayerIdleTimeout,2,
func_143007_ar,getMaxPlayerIdleMinutes,2,
func_143011_b,readStructureFromNBT,2,
func_143012_a,writeStructureToNBT,2,
func_143016_a,registerVillagePieces,2,
func_143025_a,getStructureName,2,
func_143031_a,registerStructureComponent,2,
func_143034_b,registerStructure,2,
func_143045_a,registerScatteredFeaturePieces,2,
func_143046_a,registerStrongholdPieces,2,
func_143048_a,registerStructurePieces,2,
func_143049_a,registerNetherFortressPieces,2,
func_145747_a,addChatMessage,2,
func_145748_c_,getFormattedCommandSenderName,2,
func_145749_h,getLastOutput,2,
func_145752_a,setCommand,2,
func_145753_i,getCustomName,2,
func_145758_a,writeDataToNBT,2,
func_145759_b,readDataFromNBT,2,
func_145760_g,getSuccessCount,2,
func_145769_d,setEntityId,2,
func_145770_h,isInRangeToRender3d,0,
func_145771_j,pushOutOfBlocks,2,
func_145772_a,getExplosionResistance,2,
func_145773_az,doesEntityNotTriggerPressurePlate,2,
func_145775_I,doBlockCollisions,2,
func_145776_H,getSwimSound,2,
func_145777_O,getSplashSound,2,
func_145778_a,dropItemWithOffset,2,
func_145779_a,dropItem,2,
func_145780_a,playStepSound,2,
func_145782_y,getEntityId,2,
func_145797_a,setOwner,2,
func_145798_i,getOwner,2,
func_145799_b,setThrower,2,
func_145800_j,getThrower,2,
func_145805_f,getBlock,2,
func_145806_a,setHurtEntities,2,
func_145807_e,getWorldObj,0,
func_145817_o,getDefaultDisplayTile,2,
func_145818_k_,isCustomInventoryName,2,
func_145820_n,getDisplayTile,2,
func_145825_b,getInventoryName,2,
func_145826_a,addMapping,2,
func_145827_c,createAndLoadEntity,2,
func_145828_a,addInfoToCrashReport,2,
func_145829_t,validate,2,
func_145830_o,hasWorldObj,2,
func_145831_w,getWorld,2,
func_145832_p,getBlockMetadata,2,
func_145833_n,getMaxRenderDistanceSquared,0,
func_145834_a,setWorldObj,2,
func_145835_a,getDistanceSq,0,
func_145836_u,updateContainingBlockInfo,2,
func_145837_r,isInvalid,2,
func_145838_q,getBlockType,2,
func_145839_a,readFromNBT,2,
func_145841_b,writeToNBT,2,
func_145842_c,receiveClientEvent,2,
func_145843_s,invalidate,2,
func_145844_m,getDescriptionPacket,2,
func_145845_h,updateEntity,2,
func_145861_a,getStoredBlockID,2,
func_145864_c,getPistonOrientation,2,
func_145866_f,clearPistonTileEntity,2,
func_145867_d,shouldPistonHeadBeRendered,0,
func_145868_b,isExtending,2,
func_145877_a,changePitch,2,
func_145878_a,triggerNote,2,
func_145888_j,isOnTransferCooldown,2,
func_145896_c,setTransferCooldown,2,
func_145903_a,setSkullRotation,2,
func_145904_a,getSkullType,2,
func_145906_b,getSkullRotation,0,
func_145913_a,setEditable,0,
func_145914_a,getIsEditable,2,
func_145934_k,canBrew,2,
func_145935_i,getBrewTime,2,
func_145938_d,setBrewTime,0,
func_145939_j,getFilledSlots,2,
func_145940_l,brewPotions,2,
func_145948_k,canSmelt,2,
func_145949_j,smeltItem,2,
func_145950_i,isBurning,2,
func_145951_a,setCustomInventoryName,2,
func_145952_a,getItemBurnTime,2,
func_145953_d,getCookProgressScaled,0,
func_145954_b,isItemFuel,2,
func_145955_e,getBurnTimeRemainingScaled,0,
func_145965_a,getFlowerPotItem,2,
func_145966_b,getFlowerPotData,2,
func_145976_a,setCustomName,2,
func_145977_a,isSameTypeChestAt,2,
func_145979_i,checkForAdjacentChests,2,
func_145980_j,getChestType,2,
func_145995_a,setOutputSignal,2,
func_145996_a,getOutputSignal,2,
func_145998_l,getLevels,2,
func_146001_d,setPrimaryEffect,2,
func_146002_i,shouldBeamRender,0,
func_146004_e,setSecondaryEffect,2,
func_146006_k,getSecondaryEffect,2,
func_146007_j,getPrimaryEffect,2,
func_146023_a,getStrVsBlock,2,
func_146024_c,getInventorySlotContainItemAndDamage,0,
func_146026_a,consumeInventoryItem,2,
func_146027_a,clearInventory,2,
func_146028_b,hasItem,2,
func_146029_c,getInventorySlotContainItem,2,
func_146030_a,setCurrentItem,0,
func_146031_a,setChestTileEntity,2,
func_146034_e,handleHookRetraction,2,
func_146035_c,handleHookCasting,2,
func_146068_u,getDropItem,2,
func_146080_bZ,getCarriedBlock,2,
func_146081_a,setCarriedBlock,2,
func_146082_f,setInLove,2,
func_146086_d,setHorseArmorStack,2,
func_146094_a,getUUID,2,
func_146096_a,getBreakSpeed,2,
func_146099_a,canHarvestBlock,2,
func_146100_a,displayGUIEditSign,2,
func_146103_bH,getGameProfile,2,
func_146105_b,addChatComponentMessage,2,
func_146107_m,getStatFileWriter,0,
func_146110_a,drawModalRectWithCustomSizedTexture,0,
func_146111_b,drawButtonForegroundLayer,0,
func_146112_a,drawButton,0,
func_146113_a,playPressSound,0,
func_146114_a,getHoverState,0,
func_146115_a,isMouseOver,0,
func_146116_c,mousePressed,0,
func_146117_b,getButtonWidth,0,
func_146118_a,mouseReleased,0,
